82,42,3,1,0,0,0,0,41,46,24,6,8,2,1,1,123,88,27,7,8,2,1,1,37,17,24,0,0,0,0,0,5,13,27,14,16,3,1,0,42,30,51,14,16,3,1,0,113,35,1,0,0,0,0,0,29,34,45,41,1,0,0,0,142,69,46,41,1,0,0,0,109,37,2,0,0,0,0,0,31,26,45,46,1,0,0,0,140,63,47,46,1,0,0,0,text
47,16,2,0,0,0,0,0,4,14,19,9,16,2,2,0,51,30,21,9,16,2,2,0,33,8,6,2,0,0,0,0,5,5,4,12,21,2,0,1,38,13,10,14,21,2,0,1,56,19,0,0,0,0,0,0,5,15,20,16,15,5,0,0,61,34,20,16,15,5,0,0,57,18,1,0,0,0,0,0,6,11,22,22,12,2,2,0,63,29,23,22,12,2,2,0,math
50,103,20,0,0,0,0,0,62,80,18,4,10,0,0,0,112,183,38,4,10,0,0,0,1,16,13,8,7,0,0,0,2,6,6,17,11,4,0,0,3,22,19,25,18,4,0,0,54,118,7,1,0,0,0,0,56,81,25,18,0,0,1,0,110,199,32,19,0,0,1,0,52,111,14,0,0,0,0,0,57,75,24,19,2,0,1,0,109,186,38,19,2,0,1,0,text
44,19,2,0,0,0,0,0,10,11,14,20,7,2,1,1,54,30,16,20,7,2,1,1,29,17,6,0,0,0,0,0,8,9,11,15,4,2,2,2,37,26,17,15,4,2,2,2,50,19,2,0,0,0,0,0,8,5,13,27,14,5,0,0,58,24,15,27,14,5,0,0,38,21,4,0,0,0,0,0,7,6,8,23,15,4,1,0,45,27,12,23,15,4,1,0,math
44,21,1,0,0,0,0,0,8,16,20,8,9,3,1,2,52,37,21,8,9,3,1,2,21,12,10,0,0,0,0,0,3,4,14,15,4,1,1,2,24,16,24,15,4,1,1,2,51,20,0,0,0,0,0,0,8,9,11,16,25,3,0,0,59,29,11,16,25,3,0,0,53,18,0,0,0,0,0,0,7,9,13,17,22,4,0,0,60,27,13,17,22,4,0,0,math
83,34,8,0,0,0,0,0,54,30,18,11,7,4,2,0,137,64,26,11,7,4,2,0,65,55,1,0,0,0,0,0,11,38,32,32,8,0,1,0,76,93,33,32,8,0,1,0,109,39,0,0,0,0,0,0,14,38,60,31,6,0,0,0,123,77,60,31,6,0,0,0,119,34,1,0,0,0,0,0,14,43,65,30,3,0,0,0,133,77,66,30,3,0,0,0,text
16,53,29,5,0,0,0,0,6,19,41,37,1,0,0,0,22,72,70,42,1,0,0,0,1,12,46,8,1,0,0,0,2,16,19,26,4,1,1,0,3,28,65,34,5,1,1,0,44,49,32,5,0,0,0,0,14,36,50,31,0,0,0,0,58,85,82,36,0,0,0,0,8,79,33,0,0,0,0,0,18,28,41,34,0,0,0,0,26,107,74,34,0,0,0,0,text
81,27,4,0,0,0,0,0,34,40,14,10,5,9,1,0,115,67,18,10,5,9,1,0,89,34,0,0,0,0,0,0,5,36,34,39,9,1,0,0,94,70,34,39,9,1,0,0,122,18,0,0,0,0,0,0,13,43,40,40,5,0,0,0,135,61,40,40,5,0,0,0,114,22,0,0,0,0,0,0,8,44,34,44,7,0,0,0,122,66,34,44,7,0,0,0,text
58,15,1,0,0,0,0,0,17,16,11,5,24,1,1,0,75,31,12,5,24,1,1,0,33,12,5,1,0,0,0,0,2,4,12,13,18,2,0,1,35,16,17,14,18,2,0,1,73,11,0,0,0,0,0,0,10,16,17,22,18,2,0,0,83,27,17,22,18,2,0,0,65,15,0,0,0,0,0,0,10,13,17,22,16,2,1,0,75,28,17,22,16,2,1,0,math
81,94,31,1,0,0,0,0,87,71,42,7,0,1,0,0,168,165,73,8,0,1,0,0,2,11,14,11,9,0,0,0,2,15,9,8,12,2,0,0,4,26,23,19,21,2,0,0,88,103,29,0,0,0,0,0,83,79,54,5,0,0,0,0,171,182,83,5,0,0,0,0,88,106,20,3,0,0,0,0,92,66,58,2,0,0,0,0,180,172,78,5,0,0,0,0,text
