RLBWXYH,class
[153  81  59  26  24   5   5   0],text
[159 107  61  32  23   6   3   0],text
[329 129  83  34   7  13   0   0],text
[161 104  46  32  26   8   2   0],text
[326 128  63  41   9  11   1   0],text
[ 9 83 71 67 26  1  0  1],text
[152  90  65  25  28   3   0   2],text
[147 101  43  33  20   4   4   1],text
[185 134  62  46  18   5   1   0],text
[175 119  46  32  24   6   3   0],text
[178 107  66  32  17   5   3   1],text
[ 6 81 62 44 30  1  0  1],text
[132 140  39  36  16   8   3   1],text
[234 117  60  23  29   5   0   1],text
[121  51  30  12  35  12   0   0],text
[221 138  51  30  23   5   0   1],text
[144  84  38  39  20   5   2   1],text
[339 170  77  35  10   7   1   0],text
[140  73  52  23  27   4   3   1],text
[  8  49 125  57  28   0   0   0],text
[159 116  59  24  42   0   1   0],text
[331  98  68  25  14  15   0   0],text
[195  65  67  25  23  12   0   0],text
[77 49 27 33 22  3  1  3],non-text
[181  54  62  36  20   8   4   0],text
[156  97  53  29  24   2   4   0],text
[223 155  68  29  14  10   2   0],text
[94 31 16 17 51  5  0  0],non-text
[161  82  51  15  30  10   2   0],text
[149  89  52  18  30   6   3   0],text
[76 15 17 11 16 18  2  2],non-text
[109 108  83  30  20   6   2   0],text
[170 173  66  34  21   7   0   0],text
[ 4 61 96 70 20  1  0  1],text
[134  87  37  16  28   9   1   1],text
[159  71  30  40  19   3   0   3],text
[166 110  69  24  28   9   1   0],text
[238 181  70  37  15   6   1   0],text
[31 10 39 29 54  1  1  0],text
[104 104  83  27  29   5   0   1],text
[174  93  57  22  27   6   4   0],text
[137 125  84  27  26   5   1   0],text
[264 182  81  39  12   7   0   0],text
[129 110  44  23  18   7   6   0],text
[83 67 30  7 16  7  2  3],text
[107  79  45  17  33   5   0   1],text
[290  69  66  42  12  14   0   0],text
[146 130  56  25  26   5   3   0],text
[224 137  63  44  14   9   1   0],text
[227 181  75  28  13   8   1   0],text
[125  57  40  16  27   9   1   2],text
[107 127  42  28  29   5   3   0],text
[108  60  43  26  21  10   1   2],non-text
[181 146  52  26  28   4   2   0],text
[174 113  86  22  24   3   2   1],text
[301 199  52  44  18   4   0   0],text
[172 130  70  35  26   2   2   0],text
