RLBWXYH,class
[270 117  28  31  29   5   1   0],text
[218 216  55  34  13   7   2   0],text
[134  65  51  46  21   6   1   1],text
[161 103  46  26  29   5   0   1],text
[176 112  55  57  16   4   3   0],text
[306 103  72  40  16  10   0   0],text
[189  79  55  33  23   5   3   0],text
[151  91  49  21  34   6   0   1],text
[138  95  34  14  33  10   1   0],text
[ 9  0 16 29 59  0  0  1],non-text
[25 40 60 71 37  1  0  0],non-text
[136  86  37  32  20   4   6   0],text
[ 40 137 100  45  21   1   1   0],text
[61 11 12 17 21  4  0  5],non-text
[168 113  49  32  18   4   5   0],text
[153  69  46  20  28   6   2   1],text
[129  73  43  21  24   5   6   0],text
[225 165  74  35  13   8   1   0],text
[30  2  6  2 10  5  5  5],non-text
[215 115  63  42  26   1   1   0],non-text
[27 15 20 42 56  1  0  0],text
[174  81  57  34  14   9   1   1],text
[256 122  85  50  18   3   0   0],non-text
[110 104  41  17  36   5   1   1],text
[155 136  91  28  23   2   1   1],text
[190 129  51  50  28   3   0   0],text
[368 209  65  14  16   7   0   0],text
[205  76  50  41  22   8   3   0],text
[149  87  39  50  20   2   2   2],text
[ 25 109 141  55  16   0   1   0],text
[ 35 114 102  58  16   2   2   0],text
[220  85  54  49  29   3   0   0],non-text
[349 239  45  29  16   5   1   0],text
[361 119  54  29   8  12   2   0],text
[172 104  53  29  20   4   5   0],text
[97 67 39 18 28  4  2  2],text
[ 92 112  21  12  28   7   3   1],text
[129 112  57  35  17   6   2   1],text
[59 29 12  5 18  8  6  2],non-text
[151 116  57  23  27   6   0   1],text
[119  86  75  19  26   5   3   0],text
[ 6 64 47 68 27  0  1  1],text
[229 138  89  37  10   2   3   1],text
[105  44  51  14  31   4   2   2],text
[56 50 34 21 33  4  4  1],text
[109 120  45  28  18   4   4   1],text
[95 61 27 16 33  4  2  1],text
[142  86  34  35  20   8   4   0],text
[18 72 71 48 37  0  1  0],text
[133  72  53  31  27   3   0   2],text
[270 181  79  20  14  10   1   0],text
[135 109  50  44  12   6   4   1],text
[ 12  93 104  59  24   0   1   0],text
[130  32  37  31  33   6   1   1],non-text
[  4  25 102  37  42   0   0   1],text
[147 111  47  24  21   8   3   0],text
[223 100  68  27  20   6   3   0],text
[57 39 17 15 28  3  3  1],non-text
[71 16 13 16 32  3  5  1],non-text
[181  85  62  37  27   0   4   0],text
[225  97  77  30  13  11   2   0],text
[134  82  51  16  34   8   1   1],text
[144  78  51  29  24   6   2   1],text
[178  98  50  40  20   2   5   0],text
[36  9  6  2 16  4  8  2],non-text
[199 142  65  46  15   4   4   0],text
[  3  97 127  28  21   0   1   1],text
[116  57  41  17  26   6   3   1],text
[342 129  81  42  11   9   0   0],text
[217  72  29  23  14  12   2   1],text
[177 207  57  32  15   2   5   0],text
[118 113  56  28  19   2   3   2],text
[133 175  56  27  27   5   0   0],text
[87 61 38 11 27  5  4  1],text
[79 58 34 10 21  4  5  2],text
[73 11  7 17 35  5  5  2],non-text
[223 146  72  34  13   3   4   0],text
[282 126  81  37   7  11   1   0],text
[ 8 16 50 29 56  0  0  0],text
[128  91  34  25  19   8   6   0],text
[124  30  33  32  31   5   4   0],non-text
[170 111  49  42  21   3   2   1],text
[252 182  80  18  14   7   2   0],text
[182  82  68  43  26   7   1   0],text
[42 60 54 54 25  0  0  2],text
[126  87  69  21  33   6   1   0],text
[118  78  38  29  21   7   3   1],text
[196 195  56  32  19   9   0   0],text
[211 116  63  32  20   2   5   0],text
[170 129  48  39  17   6   4   0],text
[182 174  66  38  10   3   5   0],text
[333 115  66  24  15  12   0   0],text
[ 13 111  86  64  16   2   1   1],text
[272 100  41  25  27  12   0   0],text
[237 134  88  30  14   6   2   0],text
[285 199  47  27  22   5   1   0],text
[217 218  70  35  11   8   0   0],text
[286 150  70  30  17   4   1   1],non-text
[185 116  48  36  14  12   2   0],text
[204 137  55  31  22   6   2   0],text
[50 10  3  5 21 13  5  2],non-text
[95 64 41 17 20 12  3  1],text
[12 46 86 40 37  1  0  1],text
[205 102  57  39  17  12   1   0],text
[143  97  94  23   7   4   4   1],text
[183 114  48  31  22   7   2   0],text
[189  98  67  23  32   3   0   1],text
[202  92  45  30  26   7   0   1],text
[168 138  55  31  21   5   5   0],text
[ 5 72 75 71 18  0  1  1],text
[ 9 86 93 58 24  0  0  1],text
[161 133  93  27  22   3   2   0],text
[ 34 160 154  35  12   1   1   0],text
[160 117  81  29  15   4   2   1],text
[289 128  63  41  10  11   1   0],text
[150  73  51  29  18   9   2   1],text
[185  82  43  34  19  13   1   0],text
[ 8  8 24 44 60  0  0  1],non-text
[185 119  54  36  31   1   0   1],text
[171 150  64  48  12   3   3   0],text
[146  94  37  26  28   8   2   0],text
[212 131  63  41   8   7   3   0],text
[254 127  77  39  13   8   2   0],text
[157 103  64  22  26   4   3   0],text
[141  55  40  28  23   3   8   1],text
[156 132  40  30  29   4   1   1],text
[149 133  50  17  44   6   0   0],text
[157  98  41  32  24   8   0   1],text
[188 131  62  22  24   7   0   1],text
[151  47  37  22  27   5   8   0],text
[217 191  58  33  21   4   1   0],text
[ 7 84 80 38 36  1  1  0],text
[310 146  74  31  13  10   1   0],text
[ 23 152 102  53  19   0   2   0],text
[223 123  53  57  16   7   0   0],text
[145  83  57  32  18   5   5   0],text
[142  89  60  32  19   8   3   0],text
[130 198  58  22  24   8   1   0],text
[85 75 27 14 35  5  1  1],text
[127  79  63  18  26   4   3   1],text
[178 118  49  33  34   5   0   0],text
[242 167  70  34  11  11   0   0],text
[124 115  57  28  21   6   4   0],text
[148  88  59  41  21   3   5   0],text
[272 188  75  39  20   2   0   0],text
[12 24 33  7 39  0  0  2],non-text
[129  89  78  30  31   2   1   1],text
[244 126  62  30  22   9   0   0],text
[114  80  48  23  31   6   0   1],text
[ 22  45 158  65  14   0   1   0],text
[103  56  23   9  26  12   1   1],text
[149 141  75  38  31   3   0   0],text
[221 105  61  17  26   5   2   0],text
[150  94  46  46  11   9   3   0],text
[258 134  75  41  11  10   0   0],text
[246  90  46  26  28   8   1   0],text
[ 57 133 134  49  13   2   1   0],text
[175  80  48  25  30   4   2   1],text
[170  97  77  21  24   3   1   2],text
[44 20  4  5 19  4  5  2],non-text
[241  74  68  39  12  15   0   0],text
[210 138  64  28  13   5   5   0],text
[166  79  54  23  20   8   1   2],text
[175 132  59  47  15   1   6   0],text
[160 109  79  23  19   2   2   2],text
[166 127  57  26  22   7   1   1],text
[126  80  55  40  17   4   2   1],text
[343 138  81  29  20   5   0   0],text
[173 119  71  33  16   2   5   0],text
[178  83  42  33  26   9   2   0],text
[126  74  54  26  16   3   1   4],text
[258 229  72  32  11   8   1   0],text
[169  43  37  26  21  18   1   0],text
[228  98  62  35  17  11   0   0],text
[45  9  4  5 19  8  6  3],non-text
[185 203  48  38  22   4   0   0],text
[134  69  27  18  24   9   3   1],text
[119 116  54  20  25   4   2   1],text
[231 141  67  52   8   4   4   0],text
[179 112  73  47  23   4   1   0],text
[ 8 69 59 70 27  1  0  1],text
[191  83  54  20  31   6   1   1],text
[317 114  49  18  12  17   0   0],text
[237 139  90  38  24   3   0   0],text
[148  84  50  23  30   5   2   1],text
[65 62 32 35 26 10  1  0],non-text
[266 126  51  60  26   1   0   0],text
[242 116  45  18  30   7   3   0],text
[86 42 23 24 23  7  4  2],text
[181  96  54  36  24   6   1   1],text
[ 5 64 59 60 34  0  0  1],text
[192 146  52  44  14   6   3   0],text
[157 147  55  39  17   4   1   1],text
[103 114  42  23  26   5   1   1],text
[212  90  80  48  11   2   4   0],text
[218 144  74  31  16   9   1   0],text
[309 147  72  36  16   9   0   0],text
[190  90  86  35  14   0   6   0],text
[ 80 104 135  43  16   0   2   0],text
[88 88 27 15 22  8  2  1],text
[146 167  61  38  12   3   5   0],text
[ 34  90 106  68  16   1   2   0],text
[138  97  54  20  26   4   3   1],text
[191 177  66  31  24   2   2   0],text
[  5  78 117  57  20   1   0   1],text
[164 171  86  33  15   4   2   0],text
[217 180  51  30  14   6   3   0],text
[136  63  39  32  28   2   3   2],text
[179 112  60  34  19   6   2   1],text
[119 116  67  19  37   6   1   0],text
[230 133  42  32  38   3   0   0],text
[202  99  82  19  21   5   2   1],text
[185 100  52  30  23   6   2   0],text
[123 105  56  25  30   4   0   2],text
[339 106  70  34  16  10   0   0],text
[163  88  53  26  27   8   1   1],text
[240 172  86  27  18   5   1   0],text
[114  63  44  24  28   4   0   2],text
[21 72 80 62 22  1  2  0],text
[158 119  74  28  19   8   0   1],text
[209 195  75  39  22   3   0   0],text
[284 121  51  48  16   9   0   0],text
[165  88  53  34  18   8   3   0],text
[375 172  40  27  14   5   2   0],text
[220 104  87  14  22   8   2   0],text
[42 10  2 11 13  6  9  2],non-text
[298 121  64  33   9  13   1   0],text
[211 220  90  18  15   8   0   0],text
[190 109  58  33  29   7   1   0],text
[168  83  70  24  22   8   1   1],text
[161 124  39  43  40   1   0   0],text
[151  75  47  28  20   6   3   1],text
[194 121  45  52  23   5   1   0],text
[227  97  70  32   6  15   2   0],text
[176 139  75  38  21   3   3   0],text
[177 140  57  31  27   3   2   0],text
[404 140  70  42   7  10   0   0],text
[ 26 111  62  42  19   1   2   2],text
[170  96  47  41  20   4   2   1],text
[129 109  91  30  28   5   0   0],text
[103  94  23  22  21   5   3   3],text
[152  89  52  28  27   6   2   1],text
[284 160  76  33  11  11   0   0],text
[96 59 49 27 14  1  4  3],text
[403 140  76  30  11  11   0   0],text
[129 139  58  41  14   9   0   1],text
[133  99  61  35  20   2   2   1],text
[150 122  62  65  24   2   0   0],non-text
[ 7 60 44 41 46  0  0  1],text
[120  85  47  17  21   6   4   1],text
[212 147  59  45  11   9   2   0],text
[173 145  64  41  13   7   2   0],text
[95 82 31 38 20  9  4  0],text
[183 134  64  35  15   5   4   0],text
[54 11  8  6 28  7  8  1],non-text
[284 163  54  24  31   3   0   0],text
[192 137  68  39  30   0   0   0],text
[210 123  81  47  11   2   5   0],text
[190 158  75  37  15   3   3   0],text
[132 111  40  18  25   8   3   0],text
[142  74  56  15  27   9   1   1],text
[97 82 43 29 27  6  2  1],text
[309 142  79  30  10  13   0   0],text
[183 108  66  24  20   5   1   2],text
[124  94  37  29  35   8   0   0],text
[45 16  1  5 19  3  1  3],non-text
[141  85  69  28  25   6   3   0],text
[146  82  52  23  23   8   2   1],text
[229 103  63  42  28   6   0   0],text
[318 211  74  19  19   5   1   0],text
[213 123  72  34  23   5   1   0],text
[312 102  89  32  14  12   0   0],text
[104  47  29  18  33   9   3   0],text
[154  60  44  21  14   9   6   0],non-text
[182 142  55  43  14   7   2   0],text
[ 1 21 45 84 37  0  1  0],text
[170 141  50  38  16   1   2   1],text
[304 111  77  33   9  13   1   0],text
[ 91 149 121  50  13   1   2   0],text
[142  86  41  21  31   6   1   1],text
[158 147  47  35  23   4   5   0],text
[151 148  49  33  17   5   4   0],text
[193 139  39  34  18   6   3   0],text
[ 3 27 78 68 28  0  0  1],text
[193 105  50  28  20   6   5   0],text
[192 134  94  30  16   3   1   1],text
[139 147  67  41  11   5   2   1],text
[157  69  42  26  25   3   0   3],text
[149  94 107  29  27   2   0   0],non-text
[138  81  58  10  28   8   1   1],text
[180 131  72  31  21   3   3   0],text
[248 131  62  32  17   8   1   0],text
[148  70  68  21  32   6   2   0],text
[184 104  67  37  17   4   1   1],text
[239 117  66  43  26   6   0   0],text
[117  65  22  34  18   7   0   2],text
[163 149  48  25  24   5   3   0],text
[202 151  50  44  13   5   4   0],text
[212 137  44  34  21   6   0   1],text
[154  98  43  35  24  11   2   0],text
[171 118  62  40  29   1   0   1],text
[271  92  69  30  13   9   3   0],text
[208 105  66  35  25   2   0   2],text
[187 103  55  43  17   7   2   0],text
[145  56  34  38  21   6   1   2],non-text
[232  55  65  32  17  16   0   0],text
[341  97  63  40   5  15   0   0],text
[140  97  45  32  20   6   2   1],text
[185  91  47  44  22   2   4   0],text
[270 186  85  32  14   8   0   0],text
[99 89 34 39 17 10  3  0],text
[42  7  2  4  7  9  4  4],non-text
[27 66 36 69 38  0  0  1],text
[62 77 30 10 17  6  4  1],text
[210 138  68  44  11   2   3   1],non-text
[ 2 10 24 44 57  0  1  0],non-text
[72 35 19 18 19  4  9  1],non-text
[138  67  29  22  27   6   2   2],text
[163 140  66  25  27   4   2   0],text
[145 152  29  26  29   2   3   1],text
[191 136  78  41  11   6   2   0],text
[142 123  49  13  28   2   0   2],text
[138  97  51  28  16   5   3   1],text
[172 105  45  38  18  11   2   0],text
[211 146  59  32  17   6   3   0],text
[145 103  66  28  31   4   2   0],text
[140  77  67  13  28   5   1   2],text
[110  82  37  31  19   8   1   1],text
[89 44 32 13 22  9  5  1],text
[147  53  29  33  50   1   0   0],non-text
[231 150  56  42  12   6   2   0],text
[184 114  61  30  21  10   1   0],text
[175  54  39  18  22  10   4   1],non-text
[138  76  41  16  17   9   2   2],text
[117  66  42  20  24   8   3   1],text
[125 101  69  41  27   5   1   0],text
[ 19 150 107  51  18   0   2   0],text
[218 133  71  42  20   3   2   0],text
[13 68 30 71 36  0  1  0],text
[189 152  62  45  15   4   0   1],text
[185  83  65  25  27   1   5   0],text
[135  70  49  26  32   4   3   0],text
[177 123 109  30  14   3   3   0],text
[132  75  38  33  26   3   2   2],text
[155  71  51  14  27   9   1   1],text
[153 123  64  30  40   2   0   0],text
[273 202  71  31  20   2   1   0],text
[135  85  48  19  28   4   3   1],text
[153 151  87  32  24   5   0   0],text
[300 128  59  36  15  12   0   0],text
[177  71  40  45  19  13   0   0],text
[192  67  63  28  21   8   1   1],text
[172 116  45  38  12   8   1   1],text
[152  83  49  27  19  10   2   1],text
[383 112  76  33   7  14   0   0],text
[142  54  64  21  18   8   2   2],text
[313 126  81  40  12   9   0   0],text
[204 158  55  44  11   7   2   0],text
[150 110  45  47  28   4   0   1],text
[146 132  48  30  26   8   1   0],text
[164 122  56  24  28   8   1   0],text
[94 56 34 13 23  9  3  1],text
[380 145  64  41   8  11   0   0],text
[129  82  44  24  25   6   2   1],text
[174 117  58  30  16   4   6   0],text
[15 71 92 71 24  1  1  0],text
[161 118  61  39  22   5   1   0],text
[86 89 58 41 20  7  3  0],text
[100 154  81  40  24   3   1   0],text
[161 180  58  44  15   5   2   0],text
[34 16  4  6 18  4  3  2],non-text
[210 169  60  35  16   4   3   0],text
[128  61  32  11  32   3   4   1],text
[96 67 39 26 16 11  3  1],text
[134 120  44  29  33   4   2   0],text
[209 178  74  30  15   8   1   0],text
[17 57 52 37 30  1  1  2],text
[105 115  61  24  14   3   3   2],text
[15 12 33 14 48  0  1  2],non-text
[47 18 15  4 17  6  5  3],non-text
[203 173  45  24  10  10   1   1],text
[220 193  65  35  24   3   0   0],text
[199  90  82  32  13   1   6   0],text
[160 143  71  28  21   5   3   0],text
[157  77  59  45  12   6   2   1],text
[157  86  64  19  27   8   2   0],text
[ 84 121  56  40  25   3   2   0],text
[193  99  94  30  18   2   1   2],text
[133 107  62  20  24   5   2   2],text
[140  84  36  20  23   9   1   1],text
[184 108  75  36  19   3   4   0],text
[47  5  4 11 12 12  8  2],non-text
[97 42 36 17 15  5  6  1],text
[278 145  81  46  10   8   1   0],text
[222 122  89  31  20   2   2   0],text
[470 179  36  27  17   5   1   0],text
[198 126  87  31  23   4   2   0],text
[177 114  49  38  17   5   5   0],text
[104 106  44  30  26   9   2   0],text
[131  65  27  25  26   4   3   2],text
[138 112  60  47  18   5   0   1],text
[187 111  81  36  20   4   2   0],text
[158 128  66  43  15   3   4   0],text
[194 143  64  26  22   5   3   0],text
[164 132  52  42  16   3   3   1],text
[123  96  40  23  29   6   1   1],text
[15 28 11 39 78  0  0  0],non-text
[136 104  64  46  30   1   2   0],text
[115  60  38  14  29   3   2   2],text
[68 20 12 12 26  3  6  2],non-text
[149  72  44  22  37   4   2   0],text
[173  84  67  31   7   7   6   0],text
[88 20 14 16 29  8  6  0],non-text
[182 138  50  35  17   7   2   0],text
[149 143  41  46  19   3   4   0],text
[193 110  57  34  18  11   2   0],text
[174  91  50  24  28   5   3   0],text
[171 114  57  47  12   8   1   1],text
[179 124  70  35  22   4   3   0],text
[187 126  40  31  22   8   3   0],text
[112 111  47  34  19   6   3   1],text
[203 156  54  39  21   8   0   0],text
[156 121  61  38  22   5   1   1],text
[170  91  53  38  24   2   1   2],text
[286  94  75  42  10  12   0   0],text
[204  74  54  27  27   9   2   0],text
[132  22  10  49  45   2   0   0],non-text
[151 176  36  33  32   2   1   0],text
[181 119  54  41  14   6   4   0],text
[174  98  48  34  11  11   2   1],text
[108  65  29  20  27   9   5   0],text
[121  90  38  49  15   6   3   1],text
[154  90  49  35  22   5   4   0],text
[115  48  63  26  21   7   5   0],text
[343 120  61  31   5  17   0   0],text
[220 122  73  41  16   3   4   0],text
[184 148  47  38  19  10   1   0],text
[192 105  75  27  23   2   2   1],text
[158 122  68  33  23   5   1   1],text
[135 131  67  32  19   3   4   0],text
[269 119  80  49  13   7   1   0],text
[186 145  57  42  16   6   3   0],text
[120  60  37  21  21   8   5   1],text
[288 156 109  24  22   4   0   0],text
[18 82 41 46 36  0  0  1],text
[158 104  47  48  28   5   1   0],text
[168  97  64  26  25   4   2   0],text
[148  92  55  24  23   2   7   0],text
[209 118  59  34  13   9   3   0],text
[82 42 14 12 33  6  0  2],non-text
[125  85  37  25  27   8   4   0],text
[160 100  49  52  19   3   1   1],text
[154 110  61  27  33   5   1   0],text
[289 187 114  23  17   1   1   0],text
[168 122  47  36  20   7   3   0],text
[234 175  38  32  27   3   1   0],text
[ 16 129 126  58  12   0   2   0],text
[140  79  67  27  26   6   1   1],text
[141 105  56  33  31   8   1   0],text
[136  93  46  20  34   4   3   0],text
[219 192  59  37  15   6   1   0],text
[117  84  50  24  32   1   2   1],text
[169  96  65  28  18   6   2   1],text
[122 132  51  21  35   7   1   0],text
[ 2 26 89 51 40  0  1  0],text
[156 135  87  22  26   3   1   1],text
[119 144  89  35  22   6   0   0],text
[117  98  37  19  23   8   2   1],text
[138  90  54  30  28   7   2   0],text
[234 162  70  36  24   2   1   0],text
[155 140  49  37  16   8   4   0],text
[298  98  91  32  19  10   0   0],text
[72 91 90 52 13  0  2  1],text
[65 20 19 11 13  9  5  3],text
[21 27 42 53 54  0  0  0],non-text
[104 121  58  20  35   5   1   1],text
[115  35  37  27  23   9   5   0],non-text
[172  99  50  27  28   4   3   0],text
[232 132  61  37  14  13   0   0],text
[130  63  38  30  21   6   2   1],non-text
[150  60  71  38  28   4   1   1],text
[56 18 12 11 19  8  7  2],non-text
[66  8 12 66 30  2  2  1],non-text
[114 105  37  19  18   6   8   0],text
[180 134  53  54  28   1   0   0],text
[37 26  5 37 46  0  0  2],non-text
[189 123  53  33  19   9   3   0],text
[151  61  69  30  26   5   3   0],text
[115 108  66  18  15   2   3   2],text
[140  94  79  29  17   4   3   1],text
[279  86  54  39   8  17   0   0],text
[ 64  97 131  13  23   1   4   0],non-text
[144  88  31  36  18   7   4   1],text
[227 136  88  30  23   3   1   0],text
[255 145  91  35  14   4   3   0],text
[147 104  48  25  29   6   3   0],text
[159 114  72  35  18   1   2   1],text
[229  53  56  41  15  13   2   0],text
[135 109  37  20  28   8   1   1],text
[128  48  39  19  26   6   2   3],text
[146  89  35  19  31   5   1   1],text
[145  69  53  26  27  10   1   0],text
[ 30 105  77  66  17   0   1   1],text
[115  40  36  28  20  10   3   1],non-text
[265 135  53  21  29   4   1   1],text
[117  75  60  42  19   6   1   1],text
[96 54 29 17 27  6  5  1],text
[174  64  34  31  24   9   3   0],non-text
[185 103  66  17  30   6   1   1],text
[214 146  50  28  21   7   0   1],text
[ 13 108 110  88   6   1   1   0],text
[105 112  76  51  21   3   0   1],text
[165 102  50  27  20   7   1   2],text
[67 48 22 21 34  5  3  1],text
[238 113  57  32  27   8   1   0],text
[42  6  4  6  9  5  6  5],non-text
[208 115  51  22  28   7   2   0],text
[162  88  47  51  27   4   2   0],non-text
[126 167  62  39  26   1   2   0],text
[232 157  58  31  14   5   4   0],text
[229 123  53  38  11  14   1   0],text
[207 153  53  29  16   7   4   0],text
[151 100  52  27  35   7   0   0],text
[ 11 159 115  34  27   0   0   1],text
[181 121  57  29  19   6   4   0],text
[245 178  53  36  10   5   4   0],text
[164  70  71  26  32   3   3   0],text
[129  83  48  30  21   6   3   1],text
[179  99  79  32  15   6   1   2],text
[160 202  77  39  21   1   0   1],text
[107  44  25  31  21   8   2   1],text
[116  88  47  20  26   5   2   1],text
[111 125  51  28  26   4   4   0],text
[34 25  3  0 28  3  2  2],non-text
[216 162  79  39  16   2   1   1],text
[59 31 16 10 26  6  3  2],non-text
[86 17 12 13 23 16  4  0],non-text
[183  89  64  46  17   4   1   1],text
[265 191  86  25   8   5   4   0],text
[179 165  71  37  24   6   0   0],text
[312 127  96  39  11   8   0   0],text
[132  73  36  19  26   8   2   1],text
[175 109  61  34  22   4   4   0],text
[121 147  58  47  25   2   1   0],text
[147 105 102  42  30   0   1   0],non-text
[146  88  71  29  15   5   0   3],text
[160  66  40  25  20   5   9   0],text
[43  8  5  2 15  9  5  4],non-text
[221 135  67  34  16   6   1   1],text
[120  79  54  19  17   7   2   3],text
[180 119  74  26  19   4   3   0],text
[103  72  54  34  33   5   1   1],text
[206  89  63  47  15   9   1   0],text
[226 106  88  24  30   5   0   0],text
[159 113  46  30  31   4   1   1],text
[106  53  30  23  22   4   3   2],text
[305  88  66  41  11  14   0   0],text
[147  89  57  25  18   9   1   1],text
[110  35  38  37  18   6   2   1],non-text
[228  77  44  35  18  14   1   0],text
[118 105  46  24  35   5   2   0],text
[ 5 15 33 10 41  1  0  1],non-text
[130  77  44  17  25   7   4   1],text
[222 175  79  34  12  10   1   0],text
[155  86  73  31  25   3   4   0],text
[ 28  95 102  64  13   1   1   1],text
[195 134  57  28  16   8   4   0],text
[ 44 108  59  54  24   0   1   1],text
[134 156  53  18  31   6   1   0],text
[189 150  72  40  25   5   0   0],text
[37  4  1  2 23  5  4  3],non-text
[140  77  38  17  23   6   2   2],text
[ 10  44 133  60  21   0   1   0],text
[168 106  70  37  31   3   1   0],text
[181  92  85  38  15   7   0   1],text
[123  87 109  42  22   3   1   0],text
[43 44 14 60 53  0  0  0],non-text
[104  95  44  21  28   5   1   1],text
[180  93  77  30  18   6   3   0],text
[325 117  88  26  13  12   0   0],text
[201  64  64  37  18   9   1   1],text
[208 104  52  40  14  12   1   0],text
[16  1  0  1  0  5  4  6],non-text
[187 123  35  30  29   6   1   0],text
[125 101  42  25  35   3   1   1],text
[168  57  47  57  27   6   1   0],non-text
[137  98  52  27  35   5   1   0],non-text
[181 124  76  50  18   4   2   0],text
[307 109  67  50   9  10   1   0],text
[97 77 38 14 31  6  1  1],text
[152  85  42  32  23   4   1   2],text
[46 21  8  7 11  5  8  1],non-text
[ 9 13 38 44 50  0  0  1],text
[143 130  53  20  21   4   3   1],text
[338 130  88  35  11  11   0   0],text
[121  90  48  30  26   5   2   1],text
[234 206  72  33  16   9   0   0],text
[127  76  38  23  23   8   3   1],text
[174  80  51  30  28   6   1   1],text
[143 119  77  29  20   5   1   1],text
[128  62  38  19  28   5   0   3],text
[172 124  84  30  24   6   0   0],text
[204 101  79  35  20   4   2   0],text
[182 125  37  31  21  12   1   0],text
[ 14  75 144  64  17   0   1   0],text
[ 93 189  37  40  21   2   3   0],text
[83 74 67 29 24  3  4  1],text
[226 205  65  43  19   2   1   0],text
[195 158  69  26  13   6   4   0],text
[84 15  9 15 22  9  5  2],non-text
[135  94  64  30  27   6   3   0],text
[59 20 23 11 18  7  2  3],non-text
[ 9  7 10 14 41  0  2  2],non-text
[255 219  45  43  14   7   0   0],text
[86 81 47 18 29  3  4  1],text
[99 32 30 25 32  5  3  1],non-text
[96 77 50 18 36  4  1  1],text
[169  85  55  35  25   3   0   1],text
[168 114  55  38  25   1   4   0],text
[38  3  4  1 11 11 10  1],non-text
[130 100  66  27  13   9   1   1],text
[150  92  59  23  21   7   2   1],text
[154 137  57  47  14   9   1   0],text
[119 133  41  20  34   6   2   0],text
[279 106  68  39  15  12   0   0],text
[169 131  95  34  24   3   1   0],text
[89 32 20 20 19  7  5  1],non-text
[240  84  70  47  10  14   0   0],text
[211  95  86  41  27   2   0   0],text
[129  84  32  37  14   7   3   1],text
[144  81  62  22  21   4   3   2],text
[201 118  77  28  16   4   5   0],text
[181  91  54  33  17   8   5   0],text
[180  92  54  37  28   6   1   0],text
[133  46  28  28  48   4   0   0],non-text
[192 138  71  39  29   2   0   0],text
[71 28  4 11 20  6  2  5],non-text
[180 102  51  52  15   3   1   1],text
[267 217  72  36   9   5   3   0],text
[  8  79 101  64  22   0   0   1],text
[167 125  64  51  14   4   4   0],text
[90 45 32 17 16 12  3  2],text
[136 129  41  24  20   7   3   1],text
[84 62 24 11 27  6  1  2],text
[258 108  78  33   9  11   2   0],text
[19 15  2 30 54  0  2  1],text
[239 167  37  35  26   4   1   0],text
[123 103  63  23  23   2   4   0],text
[210  83  58  42  13  11   2   0],text
[181 158  56  40  17   7   2   0],text
[264 159  78  24  22   4   0   0],text
[ 32 126 143  65   7   1   1   0],text
[306 157  75  47  13   5   0   0],text
[194 132  52  34  24   5   2   0],text
[178  92  48  30  18   7   0   2],text
[257 156  69  40   7  11   1   0],text
[227  72  51  34  19  13   1   0],text
[ 27 116 130  43  17   0   2   0],text
[104  37  23  26  37   9   1   0],non-text
[254 149  78  46   5  11   0   0],text
[94 66 42 31 25  7  3  1],text
[169  90  50  35  19   5   5   0],text
[141 117  73  24  22   6   1   1],text
[185  74  56  40  21   3   3   1],non-text
[261 188  96  22  24   2   0   0],text
[190 116  97  18  16   7   3   0],text
[89 66 60 24 29  7  2  0],text
[177 152  64  29  25   5   0   0],text
[37 15  5 11 23  1  3  4],non-text
[348 214  42  19  16   7   1   0],text
[211 114  81  31  17   7   2   0],text
[95 45 27 16 27  6  3  2],text
[ 13  59 102  72  18   0   0   1],text
[151  88  36  16  28   8   1   1],text
[138  72  48  36  19   6   3   1],text
[232  97  56  41  14  12   1   0],text
[12 24  4 29 58  0  0  1],text
[305 123  97  27  11  11   0   0],text
[238  77  52  29  15  18   0   0],text
[91 58 21 16 27  4  0  4],non-text
[168  74  48  22  24  12   1   0],text
[201 177  82  27  20   3   0   1],text
[153  91  53  45  38   3   0   0],text
[188 118  77  37  31   1   1   0],text
[194 129  43  37  21   9   2   0],text
[194 156  63  36  21   7   0   0],text
[222 213  71  41   9   9   0   0],text
[193 132  58  48  16   1   5   0],text
[174 118  55  36  15   7   4   0],text
[136  73  35  14  29   8   1   1],text
[113  58  30  22  34   5   2   1],text
[109  45  31   6  30  12   1   1],text
[183 153  63  35  23   2   3   0],text
[165  69  53  31  21   6   4   0],text
[153 132  36  37  31   5   2   0],text
[43 15  7  3 12  5  8  4],non-text
[166  90  33  26  26   8   1   1],text
[30 37  8 16 16  2  3  3],non-text
[122  95  41  40  23   6   1   1],text
[214 141  70  34  25   4   1   0],text
[134  38  33  36  42   5   2   0],non-text
[198 159  42  37  15   6   4   0],text
[221 147  45  51   9   3   5   0],text
[237 193  86  29  19   2   2   0],text
[182 123  84  26  16   3   2   1],text
[135  80  52  32  26   2   3   1],text
[212 124  54  45  22   7   1   0],text
[164 162  67  43  14   5   2   0],text
[121  88  51  25  25   3   3   1],text
[173  76  54  41  25   4   1   1],text
[118  93  69  20  33   5   0   1],text
[97 89 36 16 30  7  1  1],text
[ 19  70 130  66  15   0   1   0],text
[194 211  69  36   9   6   2   0],text
[71 35 13 12 22  5  3  4],non-text
[156 104  37  27  27   6   4   0],text
[166  96  56  31  14  11   2   1],text
[121  95  47  16  33   4   2   1],text
[96 63 40 11 29 10  0  2],text
[121  43  25  16  23  14   1   2],non-text
[200 198  73  16  27   4   1   0],text
[105 107  54  19  28   5   2   1],text
